codes,name,price
7891991002646,Refrigerante 600 mL,7.0
ks,Refrigerante KS,4.5
refril,Refrigerante Lata,5.0
7894900051155,Refrigerante Lata,5.0
7894900031157,Refrigerante Lata,5.0
7894900681024,Refrigerante Lata,5.0
7894900011159,Refrigerante Lata,5.0
7894900701159,Refrigerante Lata,5.0
7891991000727,Refrigerante Lata,5.0
7891991012867,Refrigerante Lata,5.0
ns,Refrigerante NS,4.0
2000300,Sobremesa,44.99
sob,Sobremesa,44.99
78939301,Sonho de Valsa,3.0
sucoc,Suco Natural Copo,7.0
sucoj,Suco Natural Jarra,16.0
sucom,Suco Natural Misto,17.0
78907478,Talento,3.0
78907461,Talento,3.0
78907492,Talento,3.0
78907355,Talento,3.0
78917125,Talento,3.0
78907485,talento,3.0
talento,talento,3.0
tij,Tijolo,25.0
trident,Trident,3.0
7895800430002,Trident,3.0
7895800304228,trident,3.0
7895800304211,Trindent,3.0
7895800309780,Trindent,3.0
7895800911150,Trindent,3.0
